排名,名稱,網址,圖片,價格
1,我不喜歡我的黃色尾巴（作者親簽版）,https://www.books.com.tw/products/0010954065?loc=P_0004_001,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954065.jpg&v=642572c1k&w=150&h=150,優惠價：79折316元
2,膽大黨 6 (首刷限定版),https://www.books.com.tw/products/0010952941?loc=P_0004_002,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/29/0010952941.jpg&v=641835dbk&w=150&h=150,優惠價：95折128元
3,傳奇總裁  贏在心性,https://www.books.com.tw/products/0010954543?loc=P_0004_003,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/45/0010954543.jpg&v=6433e536k&w=150&h=150,優惠價：79折379元
4,養氣二部曲：用站樁功法、洗脈輪及生命體悟，成就愛與幸福,https://www.books.com.tw/products/0010952700?loc=P_0004_004,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/27/0010952700.jpg&v=6412f020k&w=150&h=150,優惠價：79折308元
5,我不喜歡我的黃色尾巴,https://www.books.com.tw/products/0010954068?loc=P_0004_005,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954068.jpg&v=6424136fk&w=150&h=150,優惠價：79折316元
6,看懂聯合國永續發展目標（SDGs）,https://www.books.com.tw/products/0010876465?loc=P_0004_006,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/087/64/0010876465.jpg&v=5fae6074k&w=150&h=150,優惠價：95折285元
7,產業隊長張捷致富術：瞄準5大錢景，挖掘趨勢飆股,https://www.books.com.tw/products/0010952064?loc=P_0004_007,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/20/0010952064.jpg&v=641ae6f5k&w=150&h=150,優惠價：79折300元
8,糖果色的戀愛反論(6) 特裝版,https://www.books.com.tw/products/0010953568?loc=P_0004_008,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953568.jpg&v=641c2a58k&w=150&h=150,優惠價：79折316元
9,[數位版]MyCard 150點數卡,https://www.books.com.tw/products/N000247034?loc=P_0004_009,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/024/70/N000247034.jpg&v=521ffd54k&w=150&h=150,優惠價：150元
10,[數位版]MyCard 350點數卡,https://www.books.com.tw/products/N000548777?loc=P_0004_010,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/054/87/N000548777.jpg&v=54afafddk&w=150&h=150,優惠價：350元
11,[數位版]MyCard 500點數卡,https://www.books.com.tw/products/N000548775?loc=P_0004_011,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/054/87/N000548775.jpg&v=54afafcek&w=150&h=150,優惠價：500元
12,[數位版]MyCard 1150點數卡,https://www.books.com.tw/products/N000407696?loc=P_0004_012,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/040/76/N000407696.jpg&v=5226f692k&w=150&h=150,優惠價：1150元
13,躲在蚊子後面的大象：那些隱藏在生活小事背後的深層情緒【首刷限量附贈7款「內在大象療癒藏書卡」組】,https://www.books.com.tw/products/0010953935?loc=P_0004_013,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/39/0010953935.jpg&v=6422c22fk&w=150&h=150,優惠價：79折300元
14,[數位版]MyCard 450點數卡,https://www.books.com.tw/products/N000407127?loc=P_0004_014,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/040/71/N000407127.jpg&v=5225ad86k&w=150&h=150,優惠價：450元
15,我可能錯了：森林智者的最後一堂人生課,https://www.books.com.tw/products/0010947051?loc=P_0004_015,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/70/0010947051.jpg&v=63b6b4c6k&w=150&h=150,優惠價：79折355元
16,[數位版]MyCard 300點數卡,https://www.books.com.tw/products/N001007287?loc=P_0004_016,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007287.jpg&v=5c08cbc1k&w=150&h=150,優惠價：300元
17,鈴芽之旅（獨家愛藏版）,https://www.books.com.tw/products/0010946066?loc=P_0004_017,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/60/0010946066.jpg&v=6419953bk&w=150&h=150,優惠價：550元
18,給存股新手的財富翻滾筆記【博客來暢銷慶功版 限量QA小冊】：最適合小資族的「金融股543規律」，用薪水4萬輕鬆打造年收股息20萬！,https://www.books.com.tw/products/0010941120?loc=P_0004_018,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/11/0010941120.jpg&v=6368de57k&w=150&h=150,優惠價：66折250元
19,[數位版]MyCard 1000點數卡,https://www.books.com.tw/products/N000266133?loc=P_0004_019,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/026/61/N000266133.jpg&v=521ffd54k&w=150&h=150,優惠價：1000元
20,人生計畫 OF THE END 特裝版,https://www.books.com.tw/products/0010953566?loc=P_0004_020,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953566.jpg&v=641c2a58k&w=150&h=150,優惠價：79折276元
21,貓眼完全版盒裝套書 (08-15冊)【首刷限定版】,https://www.books.com.tw/products/0010954063?loc=P_0004_021,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/40/0010954063.jpg&v=6424136ek&w=150&h=150,優惠價：3300元
22,紅色賭盤：令中共高層害怕，直擊現代中國金權交易背後的腐敗內幕,https://www.books.com.tw/products/0010946355?loc=P_0004_022,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/63/0010946355.jpg&v=63ad6cb2k&w=150&h=150,優惠價：79折331元
23,[數位版]MyCard 750點數卡,https://www.books.com.tw/products/N000873990?loc=P_0004_023,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/087/39/N000873990.jpg&v=59fbd996k&w=150&h=150,優惠價：750元
24,[數位版]MyCard 50點數卡,https://www.books.com.tw/products/N001007292?loc=P_0004_024,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007292.jpg&v=5c08cbc5k&w=150&h=150,優惠價：50元
25,花長出了骨頭,https://www.books.com.tw/products/0010953949?loc=P_0004_025,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/39/0010953949.jpg&v=6424133ek&w=150&h=150,優惠價：79折237元
26,過激的Omega 特裝版,https://www.books.com.tw/products/0010953565?loc=P_0004_026,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953565.jpg&v=641c2a57k&w=150&h=150,優惠價：79折379元
27,[數位版]MyCard 400點數卡,https://www.books.com.tw/products/N001007288?loc=P_0004_027,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/100/72/N001007288.jpg&v=5c08cbc1k&w=150&h=150,優惠價：400元
28,善存 醫用口罩(未滅菌)(雙鋼印)-成人平面 石墨黑(50入/盒),https://www.books.com.tw/products/N001300703?loc=P_0004_028,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/130/07/N001300703.jpg&v=608fc9a4k&w=150&h=150,優惠價：99元
29,【cama cafe】浸泡式咖啡- 蔗香茶韻,https://www.books.com.tw/products/N001105560?loc=P_0004_029,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/110/55/N001105560.jpg&v=60d18eadk&w=150&h=150,優惠價：275元
30,鏈鋸人 12(首刷限定版),https://www.books.com.tw/products/0010942385?loc=P_0004_030,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/094/23/0010942385.jpg&v=639bd82ak&w=150&h=150,優惠價：95折124元
31,Simon Coll 99% 黑巧克力片 85g,https://www.books.com.tw/products/N000761976?loc=P_0004_031,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/N00/076/19/N000761976.jpg&v=5dca7544k&w=150&h=150,優惠價：220元
32,惡癖(3) 特裝版,https://www.books.com.tw/products/0010953564?loc=P_0004_032,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/35/0010953564.jpg&v=641c2a57k&w=150&h=150,優惠價：79折316元
33,逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考【博客來獨家書封版】,https://www.books.com.tw/products/0010928119?loc=P_0004_033,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/81/0010928119.jpg&v=62b1abbbk&w=150&h=150,優惠價：79折331元
34,超越地表最強小編！社群加薪時代：讓你幫自己每月加薪20%：社群經營達人冒牌生不藏私最完整圖文教學，FB、IG、LINE、YT……自媒體變現全攻略(簽名版),https://www.books.com.tw/products/0010951112?loc=P_0004_034,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/11/0010951112.jpg&v=6405c183k&w=150&h=150,優惠價：79折300元
