query,exploreLink,rank,date
普發6000,/trends/explore?q=%E6%99%AE%E7%99%BC6000&date=today+1-m&geo=TW,1,2023-03-16
台企銀,/trends/explore?q=%E5%8F%B0%E4%BC%81%E9%8A%80&date=today+1-m&geo=TW,2,2023-03-16
輕航機,/trends/explore?q=%E8%BC%95%E8%88%AA%E6%A9%9F&date=today+1-m&geo=TW,3,2023-03-16
郭文貴,/trends/explore?q=%E9%83%AD%E6%96%87%E8%B2%B4&date=today+1-m&geo=TW,4,2023-03-16
經典賽戰績,/trends/explore?q=%E7%B6%93%E5%85%B8%E8%B3%BD%E6%88%B0%E7%B8%BE&date=today+1-m&geo=TW,5,2023-03-16
Edwin Diaz,/trends/explore?q=Edwin+Diaz&date=today+1-m&geo=TW,6,2023-03-16
張忠謀,/trends/explore?q=%E5%BC%B5%E5%BF%A0%E8%AC%80&date=today+1-m&geo=TW,7,2023-03-16
賴清德,/trends/explore?q=%E8%B3%B4%E6%B8%85%E5%BE%B7&date=today+1-m&geo=TW,8,2023-03-16
岡本和真,/trends/explore?q=%E5%B2%A1%E6%9C%AC%E5%92%8C%E7%9C%9F&date=today+1-m&geo=TW,9,2023-03-16
波多黎各,/trends/explore?q=%E6%B3%A2%E5%A4%9A%E9%BB%8E%E5%90%84&date=today+1-m&geo=TW,10,2023-03-16
沙贊2,/trends/explore?q=%E6%B2%99%E8%B4%8A2&date=today+1-m&geo=TW,11,2023-03-16
文心一言,/trends/explore?q=%E6%96%87%E5%BF%83%E4%B8%80%E8%A8%80&date=today+1-m&geo=TW,12,2023-03-16
就饗鐵板燒,/trends/explore?q=%E5%B0%B1%E9%A5%97%E9%90%B5%E6%9D%BF%E7%87%92&date=today+1-m&geo=TW,13,2023-03-16
邱國正,/trends/explore?q=%E9%82%B1%E5%9C%8B%E6%AD%A3&date=today+1-m&geo=TW,14,2023-03-16
琳賽蘿涵,/trends/explore?q=%E7%90%B3%E8%B3%BD%E8%98%BF%E6%B6%B5&date=today+1-m&geo=TW,15,2023-03-16
范少勳,/trends/explore?q=%E8%8C%83%E5%B0%91%E5%8B%B3&date=today+1-m&geo=TW,16,2023-03-16
紐西蘭,/trends/explore?q=%E7%B4%90%E8%A5%BF%E8%98%AD&date=today+1-m&geo=TW,17,2023-03-16
阿爾比恩,/trends/explore?q=%E9%98%BF%E7%88%BE%E6%AF%94%E6%81%A9&date=today+1-m&geo=TW,18,2023-03-16
BLACKPINK,/trends/explore?q=BLACKPINK&date=today+1-m&geo=TW,1,2023-03-17
菅原初代,/trends/explore?q=%E8%8F%85%E5%8E%9F%E5%88%9D%E4%BB%A3&date=today+1-m&geo=TW,2,2023-03-17
樂天,/trends/explore?q=%E6%A8%82%E5%A4%A9&date=today+1-m&geo=TW,3,2023-03-17
Copilot,/trends/explore?q=Copilot&date=today+1-m&geo=TW,4,2023-03-17
林昶佐,/trends/explore?q=%E6%9E%97%E6%98%B6%E4%BD%90&date=today+1-m&geo=TW,5,2023-03-17
中華職棒,/trends/explore?q=%E4%B8%AD%E8%8F%AF%E8%81%B7%E6%A3%92&date=today+1-m&geo=TW,6,2023-03-17
勞斯萊斯,/trends/explore?q=%E5%8B%9E%E6%96%AF%E8%90%8A%E6%96%AF&date=today+1-m&geo=TW,7,2023-03-17
世界睡眠日,/trends/explore?q=%E4%B8%96%E7%95%8C%E7%9D%A1%E7%9C%A0%E6%97%A5&date=today+1-m&geo=TW,8,2023-03-17
電價調漲,/trends/explore?q=%E9%9B%BB%E5%83%B9%E8%AA%BF%E6%BC%B2&date=today+1-m&geo=TW,9,2023-03-17
小美人魚,/trends/explore?q=%E5%B0%8F%E7%BE%8E%E4%BA%BA%E9%AD%9A&date=today+1-m&geo=TW,10,2023-03-17
韓韶禧,/trends/explore?q=%E9%9F%93%E9%9F%B6%E7%A6%A7&date=today+1-m&geo=TW,11,2023-03-17
NMIXX,/trends/explore?q=NMIXX&date=today+1-m&geo=TW,12,2023-03-17
輕航機墜毀,/trends/explore?q=%E8%BC%95%E8%88%AA%E6%A9%9F%E5%A2%9C%E6%AF%80&date=today+1-m&geo=TW,13,2023-03-17
第一共和銀行,/trends/explore?q=%E7%AC%AC%E4%B8%80%E5%85%B1%E5%92%8C%E9%8A%80%E8%A1%8C&date=today+1-m&geo=TW,14,2023-03-17
英業達,/trends/explore?q=%E8%8B%B1%E6%A5%AD%E9%81%94&date=today+1-m&geo=TW,15,2023-03-17
Jisoo,/trends/explore?q=Jisoo&date=today+1-m&geo=TW,1,2023-03-18
Lisa,/trends/explore?q=Lisa&date=today+1-m&geo=TW,2,2023-03-18
捍衛任務,/trends/explore?q=%E6%8D%8D%E8%A1%9B%E4%BB%BB%E5%8B%99&date=today+1-m&geo=TW,3,2023-03-18
草蜢,/trends/explore?q=%E8%8D%89%E8%9C%A2&date=today+1-m&geo=TW,4,2023-03-18
暗黑破壞神4,/trends/explore?q=%E6%9A%97%E9%BB%91%E7%A0%B4%E5%A3%9E%E7%A5%9E4&date=today+1-m&geo=TW,5,2023-03-18
F1,/trends/explore?q=F1&date=today+1-m&geo=TW,6,2023-03-18
經典賽四強,/trends/explore?q=%E7%B6%93%E5%85%B8%E8%B3%BD%E5%9B%9B%E5%BC%B7&date=today+1-m&geo=TW,7,2023-03-18
安洗瑩,/trends/explore?q=%E5%AE%89%E6%B4%97%E7%91%A9&date=today+1-m&geo=TW,8,2023-03-18
松本梨香,/trends/explore?q=%E6%9D%BE%E6%9C%AC%E6%A2%A8%E9%A6%99&date=today+1-m&geo=TW,9,2023-03-18
呆呆獸,/trends/explore?q=%E5%91%86%E5%91%86%E7%8D%B8&date=today+1-m&geo=TW,10,2023-03-18
國際刑事法院,/trends/explore?q=%E5%9C%8B%E9%9A%9B%E5%88%91%E4%BA%8B%E6%B3%95%E9%99%A2&date=today+1-m&geo=TW,11,2023-03-18
沙贊!眾神之怒,/trends/explore?q=%E6%B2%99%E8%B4%8A!%E7%9C%BE%E7%A5%9E%E4%B9%8B%E6%80%92&date=today+1-m&geo=TW,12,2023-03-18
