本週,上週,片名,上映日期,預告片,網友滿意度
1,,超級瑪利歐兄弟電影版,2023-04-05,預告片,4.5
2,1,捍衛任務4,2023-03-22,預告片,4.3
3,2,龍與地下城：盜賊榮耀,2023-03-29,預告片,4.5
4,3,鈴芽之旅,2023-03-02,預告片,4.5
5,,AIR,2023-04-05,預告片,4.5
6,5,鏡之孤城,2023-03-31,預告片,4.5
7,4,做工的人電影版,2023-03-31,預告片,4.2
8,6,關於我和鬼變成家人的那件事,2023-02-10,預告片,4.5
9,8,名偵探柯南 灰原哀物語〜黑鐵的神祕列車〜,2023-03-24,預告片,3.7
10,10,魔女宅急便,2023-03-31,預告片,3.5
11,,美麗的他電影版,2023-04-07,預告片,4.5
12,,百花,2023-04-07,預告片,4.5
13,,熊男,2023-04-07,預告片,4.4
14,7,65：恐怖行星,2023-03-31,預告片,3.2
15,12,灌籃高手 THE FIRST SLAM DUNK,2023-01-13,,4.5
16,19,守護黑面琵鷺,2023-03-24,預告片,4.7
17,11,靈魂伴侶,2023-03-31,預告片,4.6
18,9,沙贊！眾神之怒,2023-03-16,預告片,3.4
19,,超難搞先生,2023-02-10,預告片,4.6
20,15,TÁR 塔爾,2023-03-10,預告片,4
